2.27.16.208 334ms
2.27.132.136 674ms
3.165.38.202 370ms
8.218.36.133 5002ms
8.219.155.125 902ms
8.219.195.31 894ms
8.222.185.236 893ms
13.35.207.98 466ms
13.225.160.178 383ms
13.225.160.230 587ms
18.65.30.171 594ms
18.244.72.216 350ms
23.133.52.10 200ms
23.146.248.149 843ms
27.50.48.50 79ms
27.50.48.59 119ms
27.50.48.255 66ms
27.102.134.233 641ms
31.57.109.126 81ms
31.58.226.196 111ms
31.59.120.198 323ms
31.76.103.14 557ms
34.212.240.129 281ms
38.55.192.202 681ms
43.129.217.38 5001ms
43.132.231.159 638ms
43.155.208.254 781ms
43.161.236.173 591ms
43.168.16.112 694ms
43.200.87.5 5002ms
45.32.110.53 783ms
45.32.121.27 739ms
45.32.124.17 754ms
45.38.42.198 208ms
45.76.178.112 748ms
45.76.187.126 743ms
45.76.189.166 731ms
45.77.174.69 735ms
45.77.254.160 758ms
45.141.139.209 721ms
45.202.247.198 645ms
45.221.115.92 5002ms
46.8.68.20 952ms
46.101.117.15 374ms
47.57.181.17 2943ms
47.84.54.115 3044ms
47.130.35.116 5002ms
47.239.220.3 2251ms
47.243.54.45 196ms
52.84.150.38 21ms
52.84.150.43 22ms
52.84.150.145 22ms
52.84.150.246 22ms
54.230.175.134 563ms
54.239.158.32 563ms
61.85.1.77 5002ms
62.60.159.173 372ms
65.20.88.116 725ms
66.42.51.60 683ms
66.42.54.67 766ms
70.34.244.250 106ms
91.110.174.173 206ms
91.110.174.204 5002ms
91.110.174.210 206ms
98.70.26.236 692ms
99.84.34.9 172ms
103.31.4.1 62ms
103.31.4.2 46ms
103.31.4.3 54ms
103.31.4.6 62ms
103.31.4.7 47ms
103.31.4.8 55ms
103.65.231.245 352ms
103.96.74.18 842ms
103.106.228.126 152ms
104.16.0.1 75ms
104.16.0.3 90ms
104.16.0.5 73ms
104.16.0.6 76ms
104.16.10.10 76ms
104.16.65.1 81ms
104.16.100.139 65ms
104.16.105.166 64ms
104.16.111.90 72ms
104.16.111.220 71ms
104.16.120.53 72ms
104.16.149.247 74ms
104.16.152.141 70ms
104.16.155.199 118ms
104.16.157.98 70ms
104.16.247.32 66ms
104.17.0.5 70ms
104.17.0.8 95ms
104.17.21.106 58ms
104.17.24.81 71ms
104.17.48.125 66ms
104.17.51.141 65ms
104.17.59.88 76ms
104.17.67.130 66ms
104.17.69.244 63ms
104.17.121.89 65ms
104.17.125.56 65ms
104.17.131.178 65ms
104.17.139.37 82ms
104.17.142.212 58ms
104.17.149.32 65ms
104.17.149.214 78ms
104.17.156.231 71ms
104.17.162.3 83ms
104.17.162.14 80ms
104.17.167.134 69ms
104.17.168.132 75ms
104.17.182.214 63ms
104.17.189.218 61ms
104.17.211.211 75ms
104.17.212.109 63ms
104.17.213.180 61ms
104.17.218.213 60ms
104.17.237.163 66ms
104.18.0.3 62ms
104.18.0.6 61ms
104.18.81.19 64ms
104.18.86.139 71ms
104.18.89.52 55ms
104.18.151.172 75ms
104.18.166.129 60ms
104.18.189.153 64ms
104.18.223.253 59ms
104.18.248.13 53ms
104.18.255.167 64ms
104.19.0.1 52ms
104.19.0.3 59ms
104.19.0.4 60ms
104.19.0.6 76ms
104.19.0.8 59ms
104.19.0.9 64ms
104.19.32.53 74ms
104.19.40.23 86ms
104.19.40.165 74ms
104.19.43.229 58ms
104.19.148.121 57ms
104.19.154.200 65ms
104.19.212.207 55ms
104.19.220.22 85ms
104.21.95.132 85ms
104.25.248.225 61ms
104.25.250.55 57ms
104.25.254.230 54ms
104.26.3.162 57ms
104.26.4.90 65ms
104.26.5.134 65ms
104.26.8.117 63ms
104.31.16.158 87ms
104.168.87.41 68ms
104.248.81.178 332ms
107.148.239.178 244ms
107.173.30.154 46ms
108.159.82.69 440ms
108.159.82.72 431ms
108.162.192.1 25ms
108.162.192.2 27ms
108.162.192.4 26ms
108.162.192.6 26ms
108.162.192.8 26ms
108.162.192.9 28ms
109.69.56.15 483ms
114.32.9.249 858ms
116.202.16.211 2696ms
117.55.228.53 269ms
121.166.39.76 1357ms
121.173.93.124 2448ms
123.111.169.70 1410ms
125.139.184.199 814ms
128.140.11.25 91ms
135.181.250.100 351ms
138.68.91.42 371ms
139.59.102.170 748ms
140.238.37.103 152ms
141.11.43.124 737ms
141.11.91.67 196ms
141.147.185.63 538ms
142.248.219.213 5002ms
143.20.156.163 666ms
144.24.73.232 704ms
144.202.126.54 5002ms
147.45.174.95 89ms
147.90.229.168 331ms
147.90.229.185 326ms
149.104.5.247 898ms
154.17.22.207 5002ms
154.83.98.90 195ms
155.248.181.189 518ms
158.101.131.94 152ms
162.159.0.1 26ms
162.159.0.2 26ms
162.159.0.3 27ms
162.159.0.4 28ms
162.159.0.6 26ms
162.159.0.8 27ms
162.159.0.9 26ms
162.159.24.131 28ms
162.159.58.65 29ms
162.159.61.183 29ms
162.159.128.253 86ms
162.159.136.89 34ms
162.159.137.204 80ms
162.159.140.85 70ms
162.159.140.116 80ms
162.159.192.1 73ms
162.159.193.1 76ms
162.159.197.1 83ms
162.159.198.1 60ms
162.159.199.1 69ms
166.88.7.117 1189ms
168.110.121.126 190ms
168.138.46.67 1946ms
172.64.32.1 27ms
172.64.32.3 26ms
172.64.32.4 25ms
172.64.32.5 29ms
172.64.32.6 29ms
172.64.32.7 26ms
172.64.32.8 27ms
172.64.48.226 27ms
172.64.52.127 26ms
172.64.52.234 26ms
172.64.82.114 71ms
172.64.91.69 73ms
172.64.150.64 63ms
172.64.159.79 66ms
172.64.229.7 65ms
172.232.118.174 767ms
173.245.49.194 66ms
174.137.61.42 5002ms
175.213.209.189 1047ms
176.97.70.51 5002ms
178.173.252.196 346ms
178.253.55.190 628ms
185.155.235.58 1147ms
185.253.8.44 3363ms
192.210.196.158 213ms
193.233.127.31 288ms
198.41.194.162 26ms
198.41.208.15 30ms
198.41.208.224 30ms
198.46.218.63 64ms
199.19.111.56 5002ms
202.144.194.170 154ms
203.69.11.79 879ms
203.69.11.80 862ms
203.69.11.81 781ms
207.57.134.29 662ms
209.33.166.199 729ms
209.38.103.172 342ms
209.206.51.198 70ms
209.237.135.93 103ms
211.72.147.91 670ms
211.216.185.56 1324ms
213.35.100.31 454ms
213.35.110.208 227ms
217.60.252.106 313ms
217.142.227.105 2320ms
220.77.188.107 5002ms
221.125.10.8 5002ms
